bin_start_utc,cohort,z,art_count,tone,react_bar,r_react,drift+15m,drift+30m,drift+1h,drift+3h
2026-05-07 21:15:00+00:00,overnight,7.0821529745042495,23.0,0.7763,2026-05-08 09:30:00-04:00,0.006987141871207303,0.007171128820996797,0.0014045332435252966,-0.005737798400982652,-0.006343966381106014
2026-05-08 17:45:00+00:00,intraday,11.46634291110212,36.0,1.4936,2026-05-08 14:00:00-04:00,0.0007021937388342891,-0.0001394962841840819,-0.0008553184081591114,0.00048784220145658974,
2026-05-11 16:15:00+00:00,intraday,7.7566437339808445,25.0,0.6632,2026-05-11 12:30:00-04:00,-0.0002442229228296622,-0.0032897585463350643,-0.0035276947626708965,-0.004359808366981355,-0.009810137893028315
2026-05-12 16:00:00+00:00,intraday,6.4076622150276545,21.0,0.3559,2026-05-12 12:15:00-04:00,-0.0021388491885970806,0.001857070466435573,0.002503231093337721,-0.0007551998431388762,0.010530560507098219
2026-05-13 11:30:00+00:00,overnight,6.070416835289357,20.0,1.1242,2026-05-13 09:30:00-04:00,0.009058171259467618,-0.014486158423609008,-0.010867157335772704,-0.01023448360685808,-0.0038225020412196997
2026-05-13 23:45:00+00:00,overnight,6.4076622150276545,21.0,0.7232,2026-05-14 09:30:00-04:00,0.0024166971643571067,-0.00023271205195785072,0.002941641929973926,0.010957847477727656,0.011532777322482035
2026-05-14 05:00:00+00:00,overnight,8.093889113719143,26.0,0.4261,2026-05-14 09:30:00-04:00,0.0024166971643571067,-0.00023271205195785072,0.002941641929973926,0.010957847477727656,0.011532777322482035
2026-05-14 07:15:00+00:00,overnight,6.7449075947659525,22.0,-0.0656,2026-05-14 09:30:00-04:00,0.0024166971643571067,-0.00023271205195785072,0.002941641929973926,0.010957847477727656,0.011532777322482035
2026-05-14 11:30:00+00:00,overnight,10.117361392148927,32.0,0.5649,2026-05-14 09:30:00-04:00,0.0024166971643571067,-0.00023271205195785072,0.002941641929973926,0.010957847477727656,0.011532777322482035
2026-05-14 13:30:00+00:00,intraday,8.093889113719143,26.0,0.5952,2026-05-14 09:45:00-04:00,-0.0038371727437270797,0.0031624585937782834,0.006982871390902368,0.014811265095078241,0.012955170004835592
2026-05-14 17:00:00+00:00,intraday,6.576284904896803,22.0,0.8805,2026-05-14 13:15:00-04:00,-0.0013281294231044516,0.0024218387862384727,0.0022236785212619292,0.00631325099063651,
2026-05-15 05:15:00+00:00,overnight,6.4076622150276545,22.0,0.6442,2026-05-15 09:30:00-04:00,-0.0089393554844438,-0.000774582249938538,-0.003783931230856852,-0.00288671414736541,-0.0011302222264082395
2026-05-15 08:30:00+00:00,overnight,7.4193983542425475,25.0,0.3627,2026-05-15 09:30:00-04:00,-0.0089393554844438,-0.000774582249938538,-0.003783931230856852,-0.00288671414736541,-0.0011302222264082395
2026-05-15 14:45:00+00:00,intraday,7.0821529745042495,24.0,-0.1858,2026-05-15 11:00:00-04:00,0.0007113205770411524,0.0034358078510017265,0.006434547627055309,0.00778121680085242,0.014585698170411332
2026-05-15 18:15:00+00:00,intraday,7.4193983542425475,25.0,-0.5313,2026-05-15 14:30:00-04:00,-0.0005180791142074259,-0.003555085165293348,-0.0031547798131600358,-0.007356484832342303,
2026-05-15 20:15:00+00:00,overnight,6.4076622150276545,22.0,-0.2267,2026-05-18 09:30:00-04:00,-0.008211929626291137,-0.01076023053730879,-0.005799887942503412,-0.01870406212532405,-0.02115782421204182
2026-05-15 22:00:00+00:00,overnight,6.4076622150276545,22.0,-0.8104,2026-05-18 09:30:00-04:00,-0.008211929626291137,-0.01076023053730879,-0.005799887942503412,-0.01870406212532405,-0.02115782421204182
2026-05-16 03:15:00+00:00,overnight,5.73317145555106,20.0,0.8581,2026-05-18 09:30:00-04:00,-0.008211929626291137,-0.01076023053730879,-0.005799887942503412,-0.01870406212532405,-0.02115782421204182
