date,tone,art_count
2019-01-06,1.314,78
2019-01-07,1.263,793
2019-01-08,0.637,704
2019-01-09,0.748,379
2019-01-10,0.99,284
2019-01-11,0.769,204
2019-01-12,0.894,102
2019-01-13,0.525,59
2019-01-14,0.804,109
2019-01-15,0.821,132
2019-01-16,1.153,143
2019-01-17,0.172,190
2019-01-18,-0.109,205
2019-01-19,1.133,46
2019-01-20,0.029,43
2019-01-21,0.724,89
2019-01-22,-1.169,185
2019-01-23,-0.148,122
2019-01-24,-0.387,214
2019-01-25,0.062,141
2019-01-26,0.252,44
2019-01-27,1.309,40
2019-01-28,-2.657,807
2019-01-29,-2.2,909
2019-01-30,-0.242,307
2019-01-31,0.383,225
2019-02-01,-0.073,190
2019-02-02,0.13,63
2019-02-03,-0.042,54
2019-02-04,0.354,126
2019-02-05,0.987,154
2019-02-06,0.019,174
2019-02-07,0.215,204
2019-02-08,-0.448,183
2019-02-09,0.401,73
2019-02-10,-0.202,63
2019-02-11,-0.332,206
2019-02-12,0.345,165
2019-02-13,0.35,197
2019-02-14,-0.331,236
2019-02-15,-0.425,519
2019-02-16,-0.04,105
2019-02-17,0.07,58
2019-02-18,0.362,116
2019-02-19,0.77,131
2019-02-20,0.828,122
2019-02-21,-0.082,153
2019-02-22,1.157,167
2019-02-23,0.47,79
2019-02-24,1.51,123
2019-02-25,1.18,184
2019-02-26,0.846,125
2019-02-27,0.588,99
2019-02-28,1.06,130
2019-03-01,0.987,95
2019-03-02,0.197,43
2019-03-03,0.295,34
2019-03-04,0.878,96
2019-03-05,1.289,115
2019-03-06,0.942,123
2019-03-07,-0.365,150
2019-03-08,0.676,124
2019-03-09,0.555,47
2019-03-10,-0.115,77
2019-03-11,0.109,652
2019-03-12,-0.245,436
2019-03-13,0.556,309
2019-03-14,0.885,196
2019-03-15,0.773,314
2019-03-16,0.494,72
2019-03-17,0.774,46
2019-03-18,1.702,269
2019-03-19,1.292,715
2019-03-20,1.125,332
2019-03-21,1.048,353
2019-03-22,0.374,170
2019-03-23,0.309,55
2019-03-24,0.747,41
2019-03-25,-0.664,244
2019-03-26,0.035,322
2019-03-27,0.406,142
2019-03-28,1.06,109
2019-03-29,1.621,94
2019-03-30,1.442,48
