date,category,day_n,day_tone,day_tone_sd
2022-11-29,nvda,151,1.0045827930856928,2.5420381444517077
2022-11-30,ai_companies,2,7.934116078082715,0.5015564619506324
2022-11-30,brokers,725,-0.1471914342089558,2.7256528560676045
2022-11-30,competitors,191,1.122964614909338,2.4898223119540743
2022-11-30,hyperscalers,2849,0.1956908303012004,3.1688306959984054
2022-11-30,macro,5276,-1.8163057252340475,2.808690687334149
2022-11-30,nvda,139,0.7150488236361027,2.290268652761525
2022-12-01,ai_companies,4,5.365523674261585,1.9757576841213127
2022-12-01,brokers,706,-0.216359420255591,2.2899980490676293
2022-12-01,competitors,189,0.889242014792055,2.258470190596147
2022-12-01,hyperscalers,2896,0.4405022216341247,3.1279076934990986
2022-12-01,macro,5418,-1.142164726131275,2.4714198952605915
2022-12-01,nvda,139,0.63447078459394,2.287713438881832
2022-12-02,ai_companies,12,2.905998140044099,3.0978188749111704
2022-12-02,brokers,773,-0.1420745242549105,2.34599852282646
2022-12-02,competitors,174,0.9192719534043736,2.3646257411905784
2022-12-02,hyperscalers,2466,0.1682629768613986,3.0496559496090945
2022-12-02,macro,6433,-0.9937864159608284,2.800727249038842
2022-12-02,nvda,147,0.2084408793771086,2.355899448151416
2022-12-03,ai_companies,2,-1.19331065759637,0.1162477134603723
2022-12-03,brokers,330,-0.3409923160252692,2.494892771604155
2022-12-03,competitors,93,1.0705384679082983,2.4087380559875697
2022-12-03,hyperscalers,1412,0.2292979536079847,3.247905770273055
2022-12-03,macro,2274,-1.2696372144536894,2.8559174986857307
2022-12-03,nvda,49,0.179074504652395,1.569122404197306
2022-12-04,ai_companies,2,1.1674208144796363,0.345554445104736
2022-12-04,brokers,362,-0.6268830001828017,2.529815637945467
2022-12-04,competitors,42,0.9145267658981794,2.153253971800043
2022-12-04,hyperscalers,977,-0.009951039906931,3.0776991850930715
2022-12-04,macro,1639,-1.7799471618751168,2.4432957376303426
2022-12-04,nvda,39,1.1759640636398851,2.306282192877142
2022-12-05,ai_companies,5,1.0290398970288983,2.234459989463224
2022-12-05,brokers,960,-1.311827348330765,3.406495744521816
2022-12-05,competitors,157,0.727424113096068,2.36964455541429
2022-12-05,hyperscalers,2210,0.233396643498562,3.0215570623492125
2022-12-05,macro,3033,-1.0543437747643989,3.147129999936861
2022-12-05,nvda,131,0.3360900802345037,2.230366665297715
2022-12-06,ai_companies,3,2.57659530672383,3.260604282207279
2022-12-06,brokers,990,-0.4433564416369729,3.050322759377829
2022-12-06,competitors,439,0.7621506411825432,2.197928990948656
2022-12-06,hyperscalers,3117,0.044088172089178,3.0386476745888005
2022-12-06,macro,4164,-1.6656613977415182,2.85975932095041
2022-12-06,nvda,158,0.1925503623935851,2.247679184304824
2022-12-07,ai_companies,5,1.1625593665359149,1.7381313155775342
2022-12-07,brokers,1309,-1.097121785324727,2.734850755081743
2022-12-07,competitors,335,0.8607553221551043,2.2992952472423114
2022-12-07,hyperscalers,4172,-0.1385516806797937,2.941175186013285
2022-12-07,macro,4845,-2.0882825870994948,2.6791380873813897
2022-12-07,nvda,194,0.5084141920490125,2.3075777831655606
2022-12-08,ai_companies,1,2.9940119760479,
2022-12-08,brokers,1041,-1.0501021873752223,2.901502925575601
2022-12-08,competitors,326,0.8829417920511047,1.879296356857881
2022-12-08,hyperscalers,4655,-0.5031164906660761,3.123197401666723
2022-12-08,macro,5019,-1.560835853167082,2.674284614026776
2022-12-08,nvda,114,0.2745341701071462,2.581559800491796
2022-12-09,ai_companies,4,1.4292166463205094,0.7039407665594242
2022-12-09,brokers,708,-0.2567427436451797,2.703025816062273
2022-12-09,competitors,283,0.5471687062878623,2.3463856593290533
2022-12-09,hyperscalers,3157,-0.2680004741404851,3.003803403592489
2022-12-09,macro,4335,-1.2265191897078551,2.794083986352187
2022-12-09,nvda,95,0.0380607356111922,2.561267204045838
2022-12-10,ai_companies,7,-0.1239034704220066,3.5807297304353853
2022-12-10,brokers,194,-0.1257473308227585,2.6839327309585843
